dataset,size,rowgroups_count,vectors_count
arade4,24.944,97,9657
basel_temp_f,30.7221,2,120
basel_wind_f,29.8111,2,120
bird_migration_f,20.1392,1,17
bitcoin_f,26.3672,1,2
bitcoin_transactions_f,36.4948,3,225
city_temperature_f,10.7416,29,2837
cms1,35.6516,182,18140
cms9,11.6686,182,18140
cms25,41.113,182,18140
food_prices,23.6521,21,2002
gov10,30.9914,1379,137816
gov26,0.410905,1379,137816
gov30,7.47858,1379,137816
gov31,3.04954,1379,137816
gov40,0.832394,1379,137816
medicare1,39.3539,91,9070
medicare9,12.2575,91,9070
neon_dew_point_temp,13.3975,53,5287
neon_pm10_dust,8.56069,3,216
nyc29,40.3827,171,17037
ssd_hdd_benchmarks_f,16.2109,1,8
stocks_de,11.0104,426,42544
stocks_uk,12.5946,580,57915
